,area_type,total_sqft,bathroom,balcony,price,site_location,BHK
1751,Super built-up  Area,1209.0,2.0,2,100.0,Dhayari Phata,2.0
1752,Super built-up  Area,1150.0,2.0,2,90.0,Dhayari Phata,2.0
1753,Super built-up  Area,1012.0,2.0,1,65.0,Dhayari Phata,2.0
1754,Super built-up  Area,1178.0,2.0,1,80.0,Dhayari Phata,2.0
1755,Built-up  Area,1065.0,2.0,1,70.0,Dhayari Phata,2.0
1756,Super built-up  Area,1242.0,2.0,1,78.0,Dhayari Phata,2.0
1757,Plot  Area,1200.0,3.0,0,95.0,Dhayari Phata,3.0
1758,Built-up  Area,2408.5,3.0,1,220.0,Dhayari Phata,3.0
1759,Built-up  Area,2408.5,3.0,1,220.0,Dhayari Phata,3.0
1760,Built-up  Area,900.0,2.0,0,100.0,Dhayari Phata,3.0
1761,Super built-up  Area,2059.0,3.0,2,220.0,Dhayari Phata,3.0
1762,Super built-up  Area,1680.0,3.0,1,160.0,Dhayari Phata,3.0
1763,Built-up  Area,2300.0,3.0,3,220.0,Dhayari Phata,3.0
1764,Plot  Area,1520.0,3.0,1,165.0,Dhayari Phata,3.0
1765,Plot  Area,2010.0,3.0,2,201.0,Dhayari Phata,3.0
1766,Plot  Area,2408.5,4.0,2,220.0,Dhayari Phata,4.0
1767,Plot  Area,2400.0,4.0,0,220.0,Dhayari Phata,4.0
1768,Super built-up  Area,2408.5,4.0,0,220.0,Dhayari Phata,4.0
1769,Super built-up  Area,2408.5,4.0,1,220.0,Dhayari Phata,4.0
1770,Plot  Area,1200.0,5.0,1,220.0,Dhayari Phata,4.0
1772,Super built-up  Area,2408.5,2.0,1,220.0,Dhayari Phata,5.0
1779,Super built-up  Area,900.0,1.0,1,38.0,Dhole Patil Road,1.0
1780,Super built-up  Area,900.0,1.0,1,38.0,Dhole Patil Road,1.0
1781,Super built-up  Area,900.0,1.0,0,45.0,Dhole Patil Road,1.0
1782,Super built-up  Area,900.0,1.0,1,38.0,Dhole Patil Road,1.0
1783,Super built-up  Area,900.0,1.0,1,38.0,Dhole Patil Road,1.0
1784,Super built-up  Area,900.0,1.0,1,43.08,Dhole Patil Road,1.0
1785,Plot  Area,1000.0,2.0,0,165.0,Dhole Patil Road,2.0
1786,Super built-up  Area,996.0,2.0,1,67.0,Dhole Patil Road,2.0
1787,Built-up  Area,1300.0,2.0,0,120.0,Dhole Patil Road,2.0
1788,Super built-up  Area,1290.0,2.0,1,100.0,Dhole Patil Road,2.0
1789,Super built-up  Area,1400.0,2.0,1,82.0,Dhole Patil Road,2.0
1790,Plot  Area,900.0,3.0,2,45.0,Dhole Patil Road,2.0
1791,Super built-up  Area,1418.0,2.0,2,104.0,Dhole Patil Road,2.0
1792,Super built-up  Area,1500.0,2.0,2,88.0,Dhole Patil Road,2.0
1793,Super built-up  Area,1000.0,2.0,1,62.0,Dhole Patil Road,2.0
1794,Super built-up  Area,965.0,2.0,1,56.0,Dhole Patil Road,2.0
1795,Built-up  Area,1120.0,2.0,2,65.0,Dhole Patil Road,2.0
1796,Super built-up  Area,1310.0,2.0,2,111.0,Dhole Patil Road,2.0
1797,Built-up  Area,1169.0,2.0,2,75.0,Dhole Patil Road,2.0
1798,Super built-up  Area,1303.0,2.0,2,80.0,Dhole Patil Road,2.0
1799,Super built-up  Area,900.0,2.0,1,60.0,Dhole Patil Road,2.0
1800,Super built-up  Area,1441.0,2.0,1,115.0,Dhole Patil Road,2.0
1801,Plot  Area,1200.0,1.0,1,180.0,Dhole Patil Road,2.0
1802,Super built-up  Area,1012.0,2.0,1,62.0,Dhole Patil Road,2.0
1803,Super built-up  Area,1850.0,3.0,3,150.0,Dhole Patil Road,3.0
1804,Super built-up  Area,1875.0,2.0,2,150.0,Dhole Patil Road,3.0
1805,Super built-up  Area,2000.0,3.0,3,207.0,Dhole Patil Road,3.0
1806,Built-up  Area,1533.0,3.0,2,115.0,Dhole Patil Road,3.0
1807,Super built-up  Area,2180.0,3.0,2,170.0,Dhole Patil Road,3.0
1808,Super built-up  Area,1801.0,3.0,2,140.0,Dhole Patil Road,3.0
1809,Plot  Area,900.0,3.0,2,100.0,Dhole Patil Road,3.0
1810,Super built-up  Area,1850.0,3.0,1,150.0,Dhole Patil Road,3.0
1811,Plot  Area,1350.0,3.0,1,220.0,Dhole Patil Road,3.0
1812,Super built-up  Area,1255.0,3.0,2,115.0,Dhole Patil Road,3.0
1813,Super built-up  Area,1881.0,3.0,2,145.0,Dhole Patil Road,3.0
1814,Plot  Area,1200.0,2.0,3,220.0,Dhole Patil Road,3.0
1815,Super built-up  Area,1980.0,4.0,2,166.0,Dhole Patil Road,3.0
1816,Super built-up  Area,1876.0,3.0,1,150.0,Dhole Patil Road,3.0
1818,Plot  Area,2408.5,4.0,3,220.0,Dhole Patil Road,4.0
1819,Built-up  Area,2200.0,3.0,1,220.0,Dhole Patil Road,4.0
1820,Super built-up  Area,2408.5,2.0,3,220.0,Dhole Patil Road,5.0
1823,Built-up  Area,2408.5,2.0,2,115.0,Dhole Patil Road,7.0
1826,Plot  Area,2408.5,2.0,3,220.0,Dhole Patil Road,7.0
1827,Super built-up  Area,900.0,1.0,0,38.0,Erandwane,1.0
1828,Built-up  Area,900.0,1.0,1,38.0,Erandwane,1.0
1829,Super built-up  Area,900.0,1.0,0,45.4,Erandwane,1.0
1830,Built-up  Area,2400.0,2.0,0,220.0,Erandwane,1.0
1831,Super built-up  Area,900.0,1.0,1,46.0,Erandwane,1.0
1832,Super built-up  Area,1100.0,2.0,2,75.0,Erandwane,2.0
1833,Super built-up  Area,1438.0,2.0,3,100.0,Erandwane,2.0
1834,Super built-up  Area,1240.0,2.0,2,60.0,Erandwane,2.0
1835,Super built-up  Area,1050.0,2.0,2,52.07,Erandwane,2.0
1836,Super built-up  Area,924.0,2.0,2,65.0,Erandwane,2.0
1837,Super built-up  Area,1065.0,2.0,1,42.6,Erandwane,2.0
1838,Super built-up  Area,1225.0,2.0,2,150.0,Erandwane,2.0
1839,Super built-up  Area,1015.0,2.0,1,43.0,Erandwane,2.0
1840,Super built-up  Area,1050.0,2.0,2,85.0,Erandwane,2.0
1841,Super built-up  Area,1190.0,2.0,2,67.0,Erandwane,2.0
1842,Super built-up  Area,920.0,2.0,1,38.0,Erandwane,2.0
1843,Built-up  Area,900.0,2.0,2,55.0,Erandwane,2.0
1844,Super built-up  Area,1447.0,2.0,1,75.97,Erandwane,2.0
1845,Built-up  Area,1088.0,2.0,1,68.0,Erandwane,2.0
1846,Super built-up  Area,1310.0,2.0,2,72.0,Erandwane,2.0
1847,Built-up  Area,1340.0,2.0,3,77.0,Erandwane,2.0
1848,Built-up  Area,1150.0,2.0,2,125.0,Erandwane,2.0
1849,Super built-up  Area,1036.0,2.0,2,110.0,Erandwane,2.0
1850,Super built-up  Area,1363.0,2.0,1,79.0,Erandwane,2.0
1851,Super built-up  Area,1314.0,2.0,2,68.8,Erandwane,2.0
1852,Super built-up  Area,1198.0,2.0,1,65.0,Erandwane,2.0
1853,Super built-up  Area,1215.0,2.0,2,59.0,Erandwane,2.0
1854,Super built-up  Area,1083.0,2.0,1,100.0,Erandwane,2.0
1855,Super built-up  Area,900.0,2.0,2,38.0,Erandwane,2.0
1856,Super built-up  Area,1051.0,2.0,3,61.0,Erandwane,2.0
1857,Built-up  Area,1200.0,2.0,0,58.0,Erandwane,2.0
1858,Built-up  Area,1050.0,2.0,1,80.0,Erandwane,2.0
1859,Super built-up  Area,1116.0,2.0,2,40.0,Erandwane,2.0
1860,Super built-up  Area,1190.0,2.0,2,39.25,Erandwane,2.0
1861,Super built-up  Area,1225.0,2.0,2,48.0,Erandwane,2.0
1862,Super built-up  Area,1025.0,2.0,1,38.0,Erandwane,2.0
1863,Super built-up  Area,1139.0,2.0,2,72.0,Erandwane,2.0
1864,Super built-up  Area,1123.0,2.0,1,38.0,Erandwane,2.0
1865,Super built-up  Area,1445.0,2.0,2,82.0,Erandwane,2.0
1866,Super built-up  Area,1352.0,2.0,2,72.0,Erandwane,2.0
1867,Built-up  Area,1206.0,2.0,1,40.0,Erandwane,2.0
1868,Super built-up  Area,933.0,2.0,1,55.0,Erandwane,2.0
1869,Super built-up  Area,1225.0,2.0,2,48.0,Erandwane,2.0
1870,Super built-up  Area,1155.0,2.0,1,69.18,Erandwane,2.0
1871,Super built-up  Area,921.0,2.0,2,38.0,Erandwane,2.0
1872,Super built-up  Area,930.0,2.0,1,38.0,Erandwane,2.0
1873,Super built-up  Area,1150.0,2.0,2,52.0,Erandwane,2.0
1874,Super built-up  Area,1101.0,2.0,1,50.0,Erandwane,2.0
1875,Super built-up  Area,1157.0,2.0,2,47.32,Erandwane,2.0
1876,Super built-up  Area,1162.0,2.0,2,64.08,Erandwane,2.0
1877,Super built-up  Area,1402.0,2.0,2,95.0,Erandwane,2.0
1878,Super built-up  Area,1151.0,2.0,2,46.0,Erandwane,2.0
1879,Super built-up  Area,1500.0,2.0,1,140.0,Erandwane,2.0
1880,Plot  Area,1200.0,2.0,0,62.0,Erandwane,2.0
1881,Super built-up  Area,1210.0,2.0,2,69.0,Erandwane,2.0
1882,Super built-up  Area,1405.0,2.0,1,99.0,Erandwane,2.0
1883,Super built-up  Area,950.0,2.0,2,56.0,Erandwane,2.0
1884,Super built-up  Area,1128.0,2.0,1,60.0,Erandwane,2.0
1885,Super built-up  Area,1122.5,2.0,0,61.74,Erandwane,2.0
1886,Super built-up  Area,1075.0,2.0,1,46.76,Erandwane,2.0
1887,Super built-up  Area,1580.0,3.0,3,100.0,Erandwane,3.0
1888,Plot  Area,2408.5,2.0,1,220.0,Erandwane,3.0
1889,Super built-up  Area,1875.0,3.0,2,110.0,Erandwane,3.0
1890,Super built-up  Area,1157.0,2.0,1,75.0,Erandwane,3.0
1891,Super built-up  Area,1354.0,3.0,1,90.0,Erandwane,3.0
1892,Built-up  Area,2408.5,4.0,2,220.0,Erandwane,3.0
1893,Plot  Area,900.0,3.0,1,98.0,Erandwane,3.0
1894,Super built-up  Area,1850.0,3.0,2,140.0,Erandwane,3.0
1895,Plot  Area,1200.0,2.0,1,110.0,Erandwane,3.0
1896,Super built-up  Area,1697.0,3.0,2,115.0,Erandwane,3.0
1897,Super built-up  Area,1787.0,3.0,2,123.0,Erandwane,3.0
1898,Plot  Area,1200.0,2.0,1,220.0,Erandwane,3.0
1899,Built-up  Area,1615.0,3.0,2,115.0,Erandwane,3.0
1900,Plot  Area,1200.0,2.0,1,175.0,Erandwane,3.0
1901,Super built-up  Area,2408.5,3.0,2,220.0,Erandwane,3.0
1902,Super built-up  Area,1682.0,3.0,1,113.0,Erandwane,3.0
1903,Super built-up  Area,1877.0,4.0,2,150.0,Erandwane,3.0
1904,Super built-up  Area,2047.0,3.0,2,136.0,Erandwane,3.0
1905,Super built-up  Area,2388.0,3.0,1,195.0,Erandwane,3.0
1906,Super built-up  Area,1800.0,3.0,3,150.0,Erandwane,3.0
1907,Super built-up  Area,1560.0,2.0,2,125.0,Erandwane,3.0
1908,Super built-up  Area,1416.0,2.0,1,85.0,Erandwane,3.0
1909,Super built-up  Area,2223.0,3.0,2,220.0,Erandwane,3.0
1910,Super built-up  Area,2285.0,4.0,1,165.0,Erandwane,3.0
1911,Plot  Area,1733.5,3.0,1,120.0,Erandwane,3.0
1912,Super built-up  Area,1493.0,2.0,3,90.0,Erandwane,3.0
1913,Super built-up  Area,1555.0,3.0,2,125.0,Erandwane,3.0
1914,Super built-up  Area,2408.5,3.0,1,220.0,Erandwane,3.0
1915,Super built-up  Area,1660.0,3.0,2,128.0,Erandwane,3.0
1916,Super built-up  Area,2408.5,3.0,1,220.0,Erandwane,3.0
1917,Super built-up  Area,1457.0,2.0,2,105.0,Erandwane,3.0
1918,Plot  Area,1500.0,3.0,2,90.0,Erandwane,3.0
1919,Plot  Area,2408.5,5.0,2,220.0,Erandwane,4.0
1920,Plot  Area,1200.0,2.0,0,125.0,Erandwane,4.0
1921,Plot  Area,2408.5,3.0,2,220.0,Erandwane,4.0
1924,Built-up  Area,2408.5,4.0,1,220.0,Erandwane,4.0
1925,Carpet  Area,2100.0,3.0,0,210.0,Erandwane,4.0
1926,Plot  Area,2400.0,4.0,3,220.0,Erandwane,4.0
1927,Plot  Area,2408.5,5.0,3,220.0,Erandwane,5.0
1928,Plot  Area,1800.0,2.0,3,220.0,Erandwane,5.0
1929,Plot  Area,2100.0,2.0,2,71.0,Erandwane,6.0
1932,Built-up  Area,900.0,1.0,1,63.0,Fatima Nagar,1.0
1933,Built-up  Area,900.0,1.0,0,38.0,Fatima Nagar,1.0
1934,Plot  Area,900.0,3.0,3,38.0,Fatima Nagar,2.0
1935,Super built-up  Area,1295.0,2.0,1,65.0,Fatima Nagar,2.0
1936,Super built-up  Area,1179.0,2.0,1,66.02,Fatima Nagar,2.0
1937,Super built-up  Area,1015.0,2.0,2,38.0,Fatima Nagar,2.0
1938,Super built-up  Area,900.0,2.0,1,38.0,Fatima Nagar,2.0
1939,Built-up  Area,1300.0,2.0,1,60.0,Fatima Nagar,2.0
1940,Plot  Area,1050.0,2.0,0,110.0,Fatima Nagar,2.0
1941,Super built-up  Area,900.0,1.0,1,38.0,Fatima Nagar,2.0
1942,Super built-up  Area,1315.0,2.0,2,90.0,Fatima Nagar,2.0
1943,Super built-up  Area,1263.0,2.0,1,93.32,Fatima Nagar,2.0
1944,Built-up  Area,1070.0,2.0,2,50.0,Fatima Nagar,2.0
1945,Super built-up  Area,900.0,2.0,1,38.0,Fatima Nagar,2.0
1946,Super built-up  Area,1220.0,2.0,2,50.89,Fatima Nagar,2.0
1947,Super built-up  Area,1199.0,2.0,2,65.0,Fatima Nagar,2.0
1948,Super built-up  Area,900.0,2.0,2,38.0,Fatima Nagar,2.0
1949,Super built-up  Area,1269.0,2.0,1,75.0,Fatima Nagar,2.0
1950,Built-up  Area,1175.0,2.0,1,45.0,Fatima Nagar,2.0
1951,Super built-up  Area,1150.0,2.0,2,77.0,Fatima Nagar,2.0
1952,Built-up  Area,900.0,1.0,0,38.0,Fatima Nagar,2.0
1953,Built-up  Area,1095.0,2.0,1,60.0,Fatima Nagar,2.0
1954,Super built-up  Area,900.0,2.0,1,38.0,Fatima Nagar,2.0
1955,Super built-up  Area,1414.0,2.0,1,84.18,Fatima Nagar,2.0
1956,Super built-up  Area,1017.0,2.0,2,38.0,Fatima Nagar,2.0
1957,Super built-up  Area,1202.0,2.0,1,79.0,Fatima Nagar,2.0
1958,Super built-up  Area,1200.0,2.0,1,56.0,Fatima Nagar,2.0
1959,Plot  Area,1200.0,2.0,1,61.0,Fatima Nagar,2.0
1960,Super built-up  Area,1245.0,2.0,1,75.0,Fatima Nagar,2.0
1961,Super built-up  Area,1063.0,2.0,1,38.0,Fatima Nagar,2.0
1962,Super built-up  Area,1262.0,2.0,2,67.0,Fatima Nagar,2.0
1963,Super built-up  Area,1355.0,2.0,1,97.6,Fatima Nagar,2.0
1964,Plot  Area,1200.0,2.0,2,160.0,Fatima Nagar,2.0
1965,Super built-up  Area,1100.0,2.0,1,49.49,Fatima Nagar,2.0
1966,Plot  Area,1200.0,1.0,1,38.0,Fatima Nagar,2.0
1967,Super built-up  Area,1307.0,2.0,1,50.0,Fatima Nagar,2.0
1968,Super built-up  Area,1210.0,2.0,1,82.0,Fatima Nagar,2.0
1969,Super built-up  Area,1144.0,2.0,2,65.0,Fatima Nagar,2.0
1970,Super built-up  Area,1243.0,2.0,2,46.0,Fatima Nagar,2.0
1971,Super built-up  Area,1415.0,2.0,2,120.0,Fatima Nagar,2.0
1972,Plot  Area,2408.5,2.0,2,200.0,Fatima Nagar,2.0
1973,Super built-up  Area,1116.0,2.0,1,45.0,Fatima Nagar,2.0
1974,Super built-up  Area,1020.0,2.0,1,38.0,Fatima Nagar,2.0
1975,Super built-up  Area,1235.0,2.0,2,52.76,Fatima Nagar,2.0
1976,Super built-up  Area,1255.0,2.0,3,65.0,Fatima Nagar,2.0
1977,Super built-up  Area,1140.0,2.0,1,38.0,Fatima Nagar,2.0
1978,Super built-up  Area,1026.0,2.0,1,50.18,Fatima Nagar,2.0
1979,Super built-up  Area,1197.0,2.0,1,75.0,Fatima Nagar,2.0
1980,Super built-up  Area,1126.0,2.0,1,39.4,Fatima Nagar,2.0
1981,Built-up  Area,1123.0,2.0,2,60.0,Fatima Nagar,2.0
1982,Built-up  Area,1100.0,2.0,2,50.0,Fatima Nagar,2.0
1983,Super built-up  Area,1260.0,2.0,1,55.0,Fatima Nagar,2.0
1984,Super built-up  Area,1035.0,2.0,2,55.0,Fatima Nagar,2.0
1985,Super built-up  Area,1010.0,2.0,1,38.0,Fatima Nagar,2.0
1986,Super built-up  Area,1226.0,2.0,1,65.59,Fatima Nagar,2.0
1987,Super built-up  Area,1767.0,3.0,1,103.0,Fatima Nagar,3.0
1988,Super built-up  Area,1560.0,3.0,3,115.0,Fatima Nagar,3.0
1989,Super built-up  Area,2390.0,3.0,2,220.0,Fatima Nagar,3.0
1990,Super built-up  Area,1450.0,2.0,3,85.0,Fatima Nagar,3.0
1991,Super built-up  Area,1750.0,3.0,1,120.0,Fatima Nagar,3.0
1992,Super built-up  Area,1825.0,3.0,2,100.0,Fatima Nagar,3.0
1993,Super built-up  Area,1500.0,2.0,2,98.0,Fatima Nagar,3.0
1994,Built-up  Area,1800.0,3.0,2,180.0,Fatima Nagar,3.0
1995,Super built-up  Area,2408.5,3.0,1,220.0,Fatima Nagar,3.0
1996,Plot  Area,1200.0,2.0,0,66.5,Fatima Nagar,3.0
1997,Plot  Area,1100.0,3.0,1,78.0,Fatima Nagar,3.0
1998,Plot  Area,1200.0,3.0,2,70.0,Fatima Nagar,3.0
1999,Built-up  Area,1750.0,3.0,1,180.0,Fatima Nagar,3.0
2000,Plot  Area,1200.0,2.0,1,145.0,Fatima Nagar,3.0
2001,Plot  Area,1200.0,2.0,0,108.0,Fatima Nagar,3.0
2002,Super built-up  Area,2215.0,4.0,2,156.0,Fatima Nagar,3.0
2003,Super built-up  Area,1288.0,2.0,1,70.0,Fatima Nagar,3.0
2004,Super built-up  Area,1846.0,3.0,3,145.0,Fatima Nagar,3.0
2005,Plot  Area,1200.0,2.0,2,220.0,Fatima Nagar,3.0
2006,Built-up  Area,1400.0,2.0,1,220.0,Fatima Nagar,3.0
2007,Super built-up  Area,2145.0,3.0,3,125.0,Fatima Nagar,3.0
2008,Built-up  Area,1560.0,3.0,3,125.0,Fatima Nagar,3.0
2009,Plot  Area,900.0,4.0,1,104.0,Fatima Nagar,3.0
2010,Super built-up  Area,1656.0,3.0,2,90.0,Fatima Nagar,3.0
2011,Super built-up  Area,1756.0,3.0,2,131.0,Fatima Nagar,3.0
2012,Super built-up  Area,1682.0,3.0,1,114.0,Fatima Nagar,3.0
2013,Built-up  Area,1649.0,3.0,2,150.0,Fatima Nagar,3.0
2014,Super built-up  Area,1200.0,2.0,1,75.0,Fatima Nagar,3.0
2015,Plot  Area,1200.0,3.0,1,205.0,Fatima Nagar,3.0
2016,Super built-up  Area,2180.0,3.0,2,210.0,Fatima Nagar,3.0
2017,Super built-up  Area,1728.0,3.0,2,125.0,Fatima Nagar,3.0
2018,Super built-up  Area,1984.0,4.0,1,145.0,Fatima Nagar,3.0
2019,Plot  Area,1200.0,3.0,2,76.13,Fatima Nagar,3.0
2020,Super built-up  Area,2378.0,3.0,1,220.0,Fatima Nagar,3.0
2021,Plot  Area,900.0,4.0,3,175.0,Fatima Nagar,3.0
2022,Super built-up  Area,2408.5,3.0,3,130.0,Fatima Nagar,3.0
2023,Super built-up  Area,2280.0,4.0,2,125.0,Fatima Nagar,3.0
2024,Super built-up  Area,1560.0,3.0,2,90.0,Fatima Nagar,3.0
2025,Super built-up  Area,2408.5,3.0,3,220.0,Fatima Nagar,3.0
2026,Super built-up  Area,1573.0,3.0,2,100.0,Fatima Nagar,3.0
2027,Super built-up  Area,2408.5,5.0,3,220.0,Fatima Nagar,4.0
2028,Built-up  Area,1750.0,2.0,1,220.0,Fatima Nagar,4.0
2030,Built-up  Area,2408.5,2.0,1,220.0,Fatima Nagar,4.0
2031,Plot  Area,2350.0,2.0,0,220.0,Fatima Nagar,5.0
2032,Built-up  Area,2408.5,2.0,3,165.0,Fatima Nagar,6.0
2035,Plot  Area,2408.5,2.0,2,85.0,Fatima Nagar,7.0
2036,Super built-up  Area,900.0,1.0,0,38.0,Fergusson College Road,1.0
2037,Built-up  Area,900.0,2.0,0,38.0,Fergusson College Road,1.0
2038,Built-up  Area,900.0,1.0,1,38.0,Fergusson College Road,1.0
2039,Super built-up  Area,900.0,1.0,1,38.0,Fergusson College Road,1.0
2040,Built-up  Area,900.0,1.0,1,38.0,Fergusson College Road,1.0
2041,Super built-up  Area,900.0,1.0,1,38.0,Fergusson College Road,1.0
2042,Super built-up  Area,900.0,1.0,1,38.0,Fergusson College Road,1.0
2043,Built-up  Area,900.0,1.0,1,38.0,Fergusson College Road,1.0
2044,Built-up  Area,900.0,1.0,1,38.0,Fergusson College Road,1.0
2045,Super built-up  Area,900.0,1.0,1,38.0,Fergusson College Road,1.0
2046,Super built-up  Area,1296.0,2.0,2,83.0,Fergusson College Road,2.0
2047,Super built-up  Area,1163.0,2.0,2,98.86,Fergusson College Road,2.0
2048,Built-up  Area,1179.0,2.0,1,75.0,Fergusson College Road,2.0
2049,Super built-up  Area,900.0,1.0,1,38.0,Fergusson College Road,2.0
2050,Super built-up  Area,1132.0,2.0,1,79.28,Fergusson College Road,2.0
2051,Super built-up  Area,1200.0,2.0,2,75.0,Fergusson College Road,2.0
2052,Super built-up  Area,1366.0,2.0,1,83.0,Fergusson College Road,2.0
2053,Super built-up  Area,1123.0,2.0,1,56.0,Fergusson College Road,2.0
2054,Super built-up  Area,1077.0,2.0,2,93.0,Fergusson College Road,2.0
2055,Super built-up  Area,1198.0,2.0,1,86.26,Fergusson College Road,2.0
2056,Super built-up  Area,1012.0,2.0,1,59.0,Fergusson College Road,2.0
2057,Built-up  Area,1315.0,2.0,3,75.0,Fergusson College Road,2.0
2058,Built-up  Area,1099.0,2.0,2,65.0,Fergusson College Road,2.0
2059,Super built-up  Area,1636.0,2.0,2,82.89,Fergusson College Road,2.0
2060,Built-up  Area,1100.0,2.0,1,60.0,Fergusson College Road,2.0
2061,Super built-up  Area,973.0,2.0,1,56.0,Fergusson College Road,2.0
2062,Built-up  Area,1141.0,2.0,1,62.0,Fergusson College Road,2.0
2063,Super built-up  Area,1225.0,2.0,2,71.05,Fergusson College Road,2.0
2064,Super built-up  Area,1148.0,2.0,2,69.0,Fergusson College Road,2.0
2065,Super built-up  Area,1400.0,2.0,2,105.0,Fergusson College Road,2.0
2066,Super built-up  Area,1225.0,2.0,2,71.05,Fergusson College Road,2.0
2067,Super built-up  Area,900.0,2.0,2,45.0,Fergusson College Road,2.0
2068,Super built-up  Area,1276.0,2.0,1,69.5,Fergusson College Road,2.0
2069,Super built-up  Area,1175.0,2.0,2,86.68,Fergusson College Road,2.0
2070,Super built-up  Area,900.0,3.0,2,72.0,Fergusson College Road,2.0
2071,Super built-up  Area,1379.0,2.0,1,85.0,Fergusson College Road,2.0
2072,Super built-up  Area,1427.0,3.0,2,120.0,Fergusson College Road,3.0
2073,Super built-up  Area,2408.5,3.0,1,220.0,Fergusson College Road,3.0
2074,Super built-up  Area,2408.5,3.0,3,220.0,Fergusson College Road,3.0
2075,Super built-up  Area,2200.0,2.0,1,162.0,Fergusson College Road,3.0
2076,Super built-up  Area,1750.0,3.0,2,150.0,Fergusson College Road,3.0
2077,Built-up  Area,1250.0,3.0,2,139.0,Fergusson College Road,3.0
2078,Super built-up  Area,2300.0,3.0,1,220.0,Fergusson College Road,3.0
2079,Super built-up  Area,2024.0,3.0,1,157.0,Fergusson College Road,3.0
2080,Super built-up  Area,2006.0,4.0,2,196.0,Fergusson College Road,3.0
2081,Plot  Area,1600.0,3.0,2,180.0,Fergusson College Road,3.0
2082,Super built-up  Area,1342.0,3.0,3,92.0,Fergusson College Road,3.0
2083,Super built-up  Area,1900.0,3.0,3,155.0,Fergusson College Road,3.0
2084,Plot  Area,2408.5,2.0,1,220.0,Fergusson College Road,3.0
2085,Super built-up  Area,1680.0,3.0,3,125.0,Fergusson College Road,3.0
2086,Super built-up  Area,2408.5,3.0,1,197.0,Fergusson College Road,3.0
2087,Super built-up  Area,2408.5,3.0,1,220.0,Fergusson College Road,3.0
2088,Plot  Area,1200.0,3.0,2,165.0,Fergusson College Road,3.0
2089,Built-up  Area,1835.0,3.0,2,160.0,Fergusson College Road,3.0
2090,Super built-up  Area,1683.0,3.0,1,110.0,Fergusson College Road,3.0
2091,Built-up  Area,2408.5,3.0,2,220.0,Fergusson College Road,3.0
2092,Super built-up  Area,2214.0,3.0,2,220.0,Fergusson College Road,3.0
2093,Super built-up  Area,1639.0,3.0,2,107.0,Fergusson College Road,3.0
2094,Super built-up  Area,2100.0,3.0,1,220.0,Fergusson College Road,3.0
2095,Super built-up  Area,2408.5,3.0,1,220.0,Fergusson College Road,3.0
2096,Plot  Area,2408.5,4.0,0,220.0,Fergusson College Road,4.0
2097,Super built-up  Area,2408.5,4.0,2,220.0,Fergusson College Road,4.0
2098,Built-up  Area,2408.5,4.0,3,220.0,Fergusson College Road,4.0
2099,Super built-up  Area,2408.5,4.0,3,220.0,Fergusson College Road,4.0
2100,Plot  Area,2408.5,4.0,3,220.0,Fergusson College Road,4.0
2103,Plot  Area,2408.5,4.0,2,220.0,Fergusson College Road,5.0
2104,Built-up  Area,2408.5,2.0,0,141.0,Fergusson College Road,6.0
2105,Built-up  Area,2408.5,5.0,0,160.0,Fergusson College Road,6.0
2106,Plot  Area,2150.0,2.0,3,205.0,Fergusson College Road,6.0
2109,Super built-up  Area,2408.5,2.0,3,220.0,Fergusson College Road,7.0
2111,Super built-up  Area,900.0,1.0,1,38.0,Ganesh Peth,1.0
2112,Super built-up  Area,900.0,1.0,0,90.0,Ganesh Peth,1.0
2113,Super built-up  Area,900.0,1.0,1,38.0,Ganesh Peth,1.0
2114,Super built-up  Area,900.0,1.0,1,38.0,Ganesh Peth,1.0
2115,Super built-up  Area,900.0,1.0,2,51.0,Ganesh Peth,1.0
2116,Super built-up  Area,900.0,1.0,1,38.0,Ganesh Peth,1.0
2117,Plot  Area,900.0,1.0,1,62.0,Ganesh Peth,2.0
2118,Built-up  Area,1463.0,1.0,1,142.0,Ganesh Peth,2.0
2119,Plot  Area,1500.0,1.0,0,160.0,Ganesh Peth,2.0
2120,Super built-up  Area,1295.0,2.0,2,95.0,Ganesh Peth,2.0
2121,Super built-up  Area,1235.0,2.0,1,140.0,Ganesh Peth,2.0
2122,Plot  Area,1044.0,2.0,2,85.0,Ganesh Peth,2.0
2123,Plot  Area,2400.0,2.0,1,220.0,Ganesh Peth,2.0
2124,Built-up  Area,1270.0,2.0,1,96.0,Ganesh Peth,2.0
2125,Built-up  Area,1121.0,2.0,2,75.0,Ganesh Peth,2.0
2126,Super built-up  Area,2061.0,3.0,1,200.0,Ganesh Peth,3.0
2127,Plot  Area,1500.0,3.0,1,139.0,Ganesh Peth,3.0
2128,Super built-up  Area,1390.0,2.0,1,175.0,Ganesh Peth,3.0
2129,Built-up  Area,2408.5,3.0,1,220.0,Ganesh Peth,3.0
2130,Built-up  Area,2400.0,3.0,1,220.0,Ganesh Peth,3.0
2131,Built-up  Area,2350.0,3.0,2,220.0,Ganesh Peth,3.0
2132,Plot  Area,900.0,2.0,2,80.0,Ganesh Peth,3.0
2133,Super built-up  Area,984.0,3.0,2,140.0,Ganesh Peth,3.0
2134,Plot  Area,1200.0,3.0,2,120.0,Ganesh Peth,3.0
2135,Plot  Area,1320.0,2.0,1,110.0,Ganesh Peth,4.0
